Ngay,Nam,Gia_Mua,Gia_Ban,Gia_TrungBinh,Nguon
2021-05-18,2021,52143589.576685496,51624747.8893553,51884168.7330204,Yahoo Finance – GC=F × USDVND (VNĐ/lượng)
2021-05-19,2021,52531868.306666076,52009163.14938582,52270515.72802595,Yahoo Finance – GC=F × USDVND (VNĐ/lượng)
2021-05-20,2021,52545829.893585555,52022985.81504242,52284407.85431399,Yahoo Finance – GC=F × USDVND (VNĐ/lượng)
2021-05-24,2021,52649131.595674425,52125259.63949857,52387195.6175865,Yahoo Finance – GC=F × USDVND (VNĐ/lượng)
2021-05-25,2021,53035473.93886151,52507757.78026588,52771615.8595637,Yahoo Finance – GC=F × USDVND (VNĐ/lượng)
2021-05-26,2021,53113369.46267431,52584878.22423975,52849123.843457036,Yahoo Finance – GC=F × USDVND (VNĐ/lượng)
2021-05-27,2021,52933959.283074625,52407253.220556475,52670606.25181555,Yahoo Finance – GC=F × USDVND (VNĐ/lượng)
2021-06-01,2021,53132702.473287545,52604018.866588175,52868360.669937864,Yahoo Finance – GC=F × USDVND (VNĐ/lượng)
2021-06-02,2021,53251897.696400724,52722028.06758082,52986962.881990775,Yahoo Finance – GC=F × USDVND (VNĐ/lượng)
2021-06-03,2021,52240772.339116886,51720963.65912568,51980867.999121286,Yahoo Finance – GC=F × USDVND (VNĐ/lượng)
2021-06-07,2021,52861253.3099114,52335270.68991228,52598261.999911845,Yahoo Finance – GC=F × USDVND (VNĐ/lượng)
2021-06-08,2021,52623003.213898785,52099391.241621196,52361197.227759995,Yahoo Finance – GC=F × USDVND (VNĐ/lượng)
2021-06-09,2021,52657695.56104556,52133738.391283914,52395716.976164736,Yahoo Finance – GC=F × USDVND (VNĐ/lượng)
2021-06-10,2021,52667148.36465999,52143097.13715094,52405122.75090547,Yahoo Finance – GC=F × USDVND (VNĐ/lượng)
2021-06-14,2021,51820680.2449885,51305051.58583439,51562865.91541145,Yahoo Finance – GC=F × USDVND (VNĐ/lượng)
2021-06-15,2021,51563313.88449049,51050246.08464482,51306779.98456766,Yahoo Finance – GC=F × USDVND (VNĐ/lượng)
2021-06-16,2021,51700082.91068529,51185654.22500683,51442868.56784607,Yahoo Finance – GC=F × USDVND (VNĐ/lượng)
2021-06-17,2021,49347438.43140549,48856419.143530816,49101928.78746816,Yahoo Finance – GC=F × USDVND (VNĐ/lượng)
2021-06-21,2021,49686584.373964086,49192190.49959629,49439387.43678019,Yahoo Finance – GC=F × USDVND (VNĐ/lượng)
2021-06-22,2021,49556888.896011196,49063785.52391159,49310337.20996139,Yahoo Finance – GC=F × USDVND (VNĐ/lượng)
2021-06-23,2021,49713484.64760021,49218823.10881813,49466153.87820917,Yahoo Finance – GC=F × USDVND (VNĐ/lượng)
2021-06-24,2021,49490025.48297861,48997587.418471366,49243806.45072499,Yahoo Finance – GC=F × USDVND (VNĐ/lượng)
2021-06-28,2021,49638171.82372348,49144259.6662735,49391215.74499849,Yahoo Finance – GC=F × USDVND (VNĐ/lượng)
2021-06-29,2021,49169573.45191484,48680323.964831114,48924948.70837298,Yahoo Finance – GC=F × USDVND (VNĐ/lượng)
2021-06-30,2021,49379842.644737475,48888500.92687939,49134171.78580844,Yahoo Finance – GC=F × USDVND (VNĐ/lượng)
2021-07-01,2021,49513451.29114458,49020780.13401877,49267115.71258168,Yahoo Finance – GC=F × USDVND (VNĐ/lượng)
2021-07-06,2021,49997632.62876364,49500143.7468854,49748888.18782452,Yahoo Finance – GC=F × USDVND (VNĐ/lượng)
2021-07-07,2021,50238112.40595914,49738230.69047696,49988171.54821805,Yahoo Finance – GC=F × USDVND (VNĐ/lượng)
2021-07-08,2021,50167682.44108042,49668501.52126868,49918091.98117455,Yahoo Finance – GC=F × USDVND (VNĐ/lượng)
2021-07-12,2021,50360598.14409953,49859497.66505378,50110047.90457666,Yahoo Finance – GC=F × USDVND (VNĐ/lượng)
2021-07-13,2021,50447456.91953046,49945492.1740625,50196474.54679648,Yahoo Finance – GC=F × USDVND (VNĐ/lượng)
2021-07-14,2021,50865091.46764259,50358971.154531725,50612031.31108716,Yahoo Finance – GC=F × USDVND (VNĐ/lượng)
2021-07-15,2021,50974976.01863763,50467762.32690989,50721369.17277376,Yahoo Finance – GC=F × USDVND (VNĐ/lượng)
2021-07-19,2021,50449854.00399848,49947865.406943776,50198859.70547113,Yahoo Finance – GC=F × USDVND (VNĐ/lượng)
2021-07-20,2021,50524385.77889425,50021655.57213909,50273020.67551667,Yahoo Finance – GC=F × USDVND (VNĐ/lượng)
2021-07-21,2021,50292446.40941233,49792024.05707988,50042235.23324611,Yahoo Finance – GC=F × USDVND (VNĐ/lượng)
2021-07-22,2021,50324780.872731365,49824036.78444549,50074408.828588426,Yahoo Finance – GC=F × USDVND (VNĐ/lượng)
2021-07-26,2021,50144771.79289948,49645818.83973631,49895295.3163179,Yahoo Finance – GC=F × USDVND (VNĐ/lượng)
2021-07-27,2021,50160534.571069166,49661424.77434211,49910979.67270564,Yahoo Finance – GC=F × USDVND (VNĐ/lượng)
2021-07-28,2021,50147452.058249064,49648472.43577893,49897962.247014,Yahoo Finance – GC=F × USDVND (VNĐ/lượng)
2021-07-29,2021,50955408.249540344,50448389.26198273,50701898.75576154,Yahoo Finance – GC=F × USDVND (VNĐ/lượng)
2021-08-02,2021,50557840.85218997,50054777.75913336,50306309.30566167,Yahoo Finance – GC=F × USDVND (VNĐ/lượng)
2021-08-03,2021,50335376.33855002,49834526.82274356,50084951.58064679,Yahoo Finance – GC=F × USDVND (VNĐ/lượng)
2021-08-04,2021,50335531.50670342,49834680.44693523,50085105.97681933,Yahoo Finance – GC=F × USDVND (VNĐ/lượng)
2021-08-05,2021,50165715.15895227,49666553.81408708,49916134.48651968,Yahoo Finance – GC=F × USDVND (VNĐ/lượng)
2021-08-09,2021,47872213.280849636,47395872.85019442,47634043.06552203,Yahoo Finance – GC=F × USDVND (VNĐ/lượng)
2021-08-10,2021,47942613.31254956,47465572.384066485,47704092.84830803,Yahoo Finance – GC=F × USDVND (VNĐ/lượng)
2021-08-11,2021,48376185.792167254,47894830.70965813,48135508.250912696,Yahoo Finance – GC=F × USDVND (VNĐ/lượng)
2021-08-12,2021,48329016.09746491,47848130.36515184,48088573.23130838,Yahoo Finance – GC=F × USDVND (VNĐ/lượng)
2021-08-16,2021,49430412.40755852,48938567.50798083,49184489.95776968,Yahoo Finance – GC=F × USDVND (VNĐ/lượng)
2021-08-17,2021,49377852.67333258,48886530.756184995,49132191.71475879,Yahoo Finance – GC=F × USDVND (VNĐ/lượng)
2021-08-18,2021,49234148.162270024,48744256.1407549,48989202.15151247,Yahoo Finance – GC=F × USDVND (VNĐ/lượng)
2021-08-19,2021,49206243.94267944,48716629.5750906,48961436.758885026,Yahoo Finance – GC=F × USDVND (VNĐ/lượng)
2021-08-23,2021,49870387.27143915,49374164.51251937,49622275.89197926,Yahoo Finance – GC=F × USDVND (VNĐ/lượng)
2021-08-24,2021,49925824.74651419,49429050.37092699,49677437.558720596,Yahoo Finance – GC=F × USDVND (VNĐ/lượng)
2021-08-25,2021,49379702.772569485,48888362.44647427,49134032.60952188,Yahoo Finance – GC=F × USDVND (VNĐ/lượng)
2021-08-26,2021,49479301.68657277,48986970.326507375,49233136.006540075,Yahoo Finance – GC=F × USDVND (VNĐ/lượng)
2021-08-30,2021,49921200.43765171,49424472.07508802,49672836.25636987,Yahoo Finance – GC=F × USDVND (VNĐ/lượng)
2021-08-31,2021,50086776.55850627,49588400.672351986,49837588.61542913,Yahoo Finance – GC=F × USDVND (VNĐ/lượng)
2021-09-01,2021,50001389.98210525,49503863.71362659,49752626.847865924,Yahoo Finance – GC=F × USDVND (VNĐ/lượng)
2021-09-02,2021,49880046.79109494,49383727.91755171,49631887.35432333,Yahoo Finance – GC=F × USDVND (VNĐ/lượng)
2021-09-07,2021,49522700.282194905,49029937.095307395,49276318.68875115,Yahoo Finance – GC=F × USDVND (VNĐ/lượng)
2021-09-08,2021,49377136.31435665,48885821.525159076,49131478.919757865,Yahoo Finance – GC=F × USDVND (VNĐ/lượng)
2021-09-09,2021,49579308.534688696,49085982.08160722,49332645.30814796,Yahoo Finance – GC=F × USDVND (VNĐ/lượng)
2021-09-13,2021,49417326.79601973,48925612.101531975,49171469.44877586,Yahoo Finance – GC=F × USDVND (VNĐ/lượng)
2021-09-14,2021,49767548.69186463,49272349.202393346,49519948.94712899,Yahoo Finance – GC=F × USDVND (VNĐ/lượng)
2021-09-15,2021,49426186.30667768,48934383.457855016,49180284.88226635,Yahoo Finance – GC=F × USDVND (VNĐ/lượng)
2021-09-16,2021,48373203.95300694,47891878.54053921,48132541.24677308,Yahoo Finance – GC=F × USDVND (VNĐ/lượng)
2021-09-20,2021,48605861.20331283,48122220.79332962,48364040.99832123,Yahoo Finance – GC=F × USDVND (VNĐ/lượng)
